Sample	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	missense_variant	5_prime_UTR_variant	inframe_deletion	non_coding_transcript_exon_variant	3_prime_UTR_variant	inframe_insertion	start_lost	splice_region_variant	intergenic_variant	splice_polypyrimidine_tract_variant	intron_variant	upstream_gene_variant	splice_donor_5th_base_variant	synonymous_variant
75T-ensemble-annotated	3.0	3.0	22.0	13.0	2.0	16.0	1.0	14.0	nan	4.0	13.0	nan	nan	1.0	nan	1.0	nan	nan	nan
76M-ensemble-annotated	39.0	41.0	67.0	15.0	nan	70.0	nan	8.0	2.0	4.0	6.0	4.0	nan	nan	nan	nan	nan	nan	nan
76T-ensemble-annotated	4.0	2.0	13.0	13.0	2.0	13.0	nan	15.0	1.0	4.0	6.0	1.0	2.0	nan	nan	nan	nan	nan	nan
77M-ensemble-annotated	2.0	6.0	7.0	4.0	2.0	2.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
77T-ensemble-annotated	12.0	94.0	71.0	16.0	13.0	89.0	1.0	2.0	1.0	1.0	nan	1.0	1.0	nan	1.0	4.0	nan	nan	nan
82M-ensemble-annotated	2.0	5.0	2.0	5.0	1.0	1.0	1.0	3.0	1.0	nan	5.0	nan	nan	nan	nan	nan	nan	nan	nan
82T-ensemble-annotated	3.0	1.0	4.0	5.0	nan	4.0	1.0	2.0	2.0	nan	4.0	nan	nan	nan	nan	nan	nan	nan	nan
83M-ensemble-annotated	1.0	nan	9.0	12.0	3.0	15.0	1.0	13.0	2.0	1.0	4.0	nan	2.0	nan	nan	1.0	nan	nan	nan
83T-ensemble-annotated	3.0	nan	13.0	12.0	2.0	16.0	1.0	16.0	5.0	2.0	5.0	nan	nan	nan	nan	1.0	nan	nan	nan
84M-ensemble-annotated	10.0	15.0	12.0	4.0	nan	25.0	nan	nan	nan	1.0	nan	1.0	nan	nan	2.0	nan	nan	nan	nan
84T-ensemble-annotated	6.0	5.0	12.0	10.0	nan	16.0	nan	3.0	2.0	nan	6.0	1.0	1.0	nan	nan	nan	nan	nan	nan
86M-ensemble-annotated	2.0	1.0	10.0	15.0	2.0	14.0	1.0	15.0	2.0	nan	11.0	1.0	nan	nan	nan	nan	nan	nan	nan
86T-ensemble-annotated	3.0	nan	11.0	10.0	2.0	10.0	1.0	5.0	3.0	nan	10.0	nan	nan	nan	nan	nan	nan	nan	1.0
88M-ensemble-annotated	2.0	4.0	13.0	11.0	1.0	13.0	nan	12.0	1.0	2.0	5.0	2.0	nan	nan	nan	1.0	nan	nan	nan
88T-ensemble-annotated	3.0	17.0	20.0	10.0	2.0	25.0	nan	7.0	1.0	3.0	6.0	2.0	nan	nan	nan	1.0	nan	nan	nan
9M-ensemble-annotated	2.0	6.0	11.0	9.0	5.0	5.0	nan	2.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
9T-ensemble-annotated	nan	3.0	6.0	6.0	nan	3.0	nan	2.0	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan
