Sample	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	inframe_deletion	missense_variant	splice_region_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	NMD_transcript_variant	non_coding_transcript_variant	upstream_gene_variant	downstream_gene_variant	synonymous_variant	splice_polypyrimidine_tract_variant	inframe_insertion	start_lost	coding_sequence_variant	intergenic_variant	splice_donor_5th_base_variant	splice_donor_region_variant	incomplete_terminal_codon_variant	start_retained_variant	stop_retained_variant
59M-ensemble-annotated	nan	4.0	33.0	24.0	3.0	30.0	45.0	43.0	1.0	11.0	29.0	36.0	23.0	21.0	21.0	72.0	nan	1.0	nan	3.0	nan	nan	nan	nan	nan	nan	nan
59T-ensemble-annotated	nan	66.0	34.0	6.0	1.0	2.0	34.0	61.0	2.0	17.0	36.0	133.0	101.0	58.0	34.0	32.0	9.0	2.0	2.0	nan	nan	nan	nan	nan	nan	nan	3.0
5M-ensemble-annotated	nan	1.0	12.0	nan	3.0	nan	4.0	5.0	nan	1.0	9.0	18.0	7.0	3.0	4.0	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5T-ensemble-annotated	5.0	15.0	30.0	3.0	5.0	1.0	5.0	6.0	nan	4.0	5.0	53.0	31.0	29.0	11.0	15.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
64M-ensemble-annotated	215.0	245.0	304.0	72.0	4.0	71.0	321.0	466.0	21.0	131.0	353.0	395.0	378.0	307.0	390.0	603.0	9.0	7.0	21.0	20.0	3.0	nan	3.0	11.0	3.0	nan	2.0
64T-ensemble-annotated	1.0	1.0	44.0	13.0	2.0	24.0	26.0	16.0	3.0	21.0	42.0	75.0	28.0	55.0	47.0	104.0	3.0	4.0	20.0	1.0	1.0	nan	nan	1.0	1.0	1.0	2.0
66M-ensemble-annotated	14.0	28.0	55.0	41.0	5.0	34.0	67.0	69.0	26.0	22.0	77.0	168.0	84.0	76.0	64.0	139.0	nan	6.0	10.0	nan	1.0	nan	nan	nan	nan	nan	2.0
66T-ensemble-annotated	9.0	9.0	41.0	38.0	1.0	31.0	55.0	30.0	27.0	18.0	59.0	77.0	42.0	40.0	81.0	90.0	nan	6.0	11.0	nan	1.0	nan	nan	nan	nan	nan	2.0
6M-ensemble-annotated	4.0	9.0	21.0	28.0	nan	1.0	nan	5.0	3.0	4.0	11.0	36.0	12.0	13.0	103.0	24.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6T-ensemble-annotated	4.0	11.0	22.0	6.0	4.0	nan	5.0	11.0	4.0	10.0	14.0	157.0	84.0	13.0	45.0	84.0	4.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
73M-ensemble-annotated	11.0	11.0	21.0	43.0	nan	13.0	nan	2.0	1.0	10.0	15.0	31.0	18.0	11.0	10.0	18.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
73T-ensemble-annotated	6.0	5.0	22.0	15.0	5.0	16.0	11.0	17.0	1.0	14.0	25.0	236.0	99.0	45.0	52.0	65.0	5.0	3.0	1.0	nan	nan	nan	nan	nan	nan	nan	1.0
75M-ensemble-annotated	98.0	249.0	269.0	54.0	5.0	34.0	241.0	270.0	38.0	115.0	234.0	444.0	326.0	290.0	357.0	581.0	17.0	18.0	32.0	10.0	3.0	1.0	1.0	1.0	3.0	nan	2.0
75T-ensemble-annotated	8.0	20.0	59.0	36.0	3.0	32.0	45.0	51.0	16.0	23.0	76.0	146.0	90.0	68.0	125.0	204.0	5.0	10.0	46.0	nan	nan	1.0	nan	1.0	nan	nan	2.0
76M-ensemble-annotated	175.0	326.0	230.0	38.0	nan	22.0	311.0	258.0	55.0	79.0	279.0	455.0	229.0	349.0	443.0	499.0	4.0	9.0	13.0	7.0	2.0	nan	2.0	nan	2.0	nan	2.0
76T-ensemble-annotated	11.0	4.0	39.0	34.0	7.0	39.0	34.0	71.0	20.0	35.0	112.0	114.0	50.0	53.0	110.0	145.0	nan	5.0	14.0	4.0	nan	nan	nan	nan	nan	nan	2.0
77M-ensemble-annotated	7.0	16.0	34.0	28.0	2.0	2.0	23.0	7.0	11.0	3.0	47.0	32.0	26.0	7.0	39.0	31.0	nan	nan	nan	nan	2.0	nan	nan	3.0	nan	nan	nan
77T-ensemble-annotated	45.0	520.0	252.0	30.0	15.0	2.0	414.0	583.0	14.0	113.0	269.0	654.0	397.0	364.0	328.0	425.0	15.0	4.0	nan	1.0	4.0	nan	5.0	6.0	nan	nan	nan
82M-ensemble-annotated	10.0	53.0	15.0	19.0	2.0	4.0	3.0	3.0	6.0	10.0	22.0	53.0	37.0	26.0	79.0	47.0	1.0	nan	9.0	1.0	nan	nan	nan	nan	nan	1.0	nan
82T-ensemble-annotated	11.0	5.0	18.0	20.0	nan	3.0	16.0	17.0	3.0	7.0	25.0	84.0	21.0	61.0	44.0	31.0	1.0	nan	8.0	1.0	1.0	nan	nan	nan	1.0	1.0	nan
83M-ensemble-annotated	1.0	nan	31.0	31.0	5.0	41.0	35.0	61.0	7.0	12.0	140.0	154.0	34.0	118.0	67.0	112.0	7.0	6.0	14.0	1.0	1.0	nan	nan	nan	nan	1.0	2.0
83T-ensemble-annotated	5.0	nan	54.0	47.0	3.0	40.0	36.0	25.0	2.0	16.0	132.0	245.0	40.0	197.0	111.0	104.0	9.0	4.0	17.0	1.0	1.0	nan	nan	2.0	nan	1.0	2.0
84M-ensemble-annotated	53.0	90.0	48.0	10.0	nan	nan	137.0	102.0	19.0	38.0	94.0	100.0	74.0	76.0	141.0	138.0	1.0	9.0	nan	2.0	2.0	nan	nan	1.0	1.0	nan	nan
84T-ensemble-annotated	13.0	29.0	35.0	30.0	nan	14.0	35.0	37.0	22.0	16.0	57.0	102.0	37.0	74.0	55.0	93.0	1.0	2.0	38.0	2.0	nan	nan	nan	3.0	nan	1.0	nan
86M-ensemble-annotated	2.0	7.0	20.0	31.0	4.0	47.0	32.0	16.0	40.0	13.0	84.0	173.0	48.0	135.0	100.0	117.0	6.0	4.0	27.0	1.0	nan	nan	nan	4.0	nan	nan	nan
86T-ensemble-annotated	3.0	nan	25.0	21.0	4.0	10.0	28.0	21.0	42.0	6.0	69.0	91.0	39.0	52.0	82.0	70.0	7.0	4.0	23.0	nan	nan	nan	nan	4.0	nan	nan	nan
88M-ensemble-annotated	4.0	26.0	37.0	35.0	3.0	38.0	34.0	21.0	26.0	16.0	82.0	98.0	66.0	68.0	130.0	169.0	14.0	5.0	18.0	6.0	nan	nan	nan	nan	nan	1.0	2.0
88T-ensemble-annotated	22.0	102.0	47.0	30.0	5.0	15.0	72.0	68.0	24.0	27.0	83.0	273.0	113.0	189.0	137.0	245.0	16.0	5.0	18.0	6.0	nan	nan	2.0	nan	nan	1.0	nan
9M-ensemble-annotated	9.0	15.0	38.0	26.0	5.0	4.0	22.0	38.0	6.0	28.0	42.0	148.0	112.0	22.0	33.0	39.0	6.0	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
9T-ensemble-annotated	nan	17.0	28.0	27.0	nan	9.0	22.0	39.0	4.0	6.0	16.0	29.0	14.0	9.0	17.0	16.0	nan	1.0	4.0	nan	nan	nan	nan	nan	nan	nan	nan
