task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
60	1e/70f5f6	349210	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (77_M)	COMPLETED	0	2026-07-01 09:10:12.725	5m 29s	5m 14s	574.5%	7.7 GB	48.5 GB	64.8 GB	1 GB
62	45/6b0155	349211	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (9_M)	COMPLETED	0	2026-07-01 09:10:13.055	6m 19s	6m 7s	572.0%	7.7 GB	49.7 GB	87.8 GB	1.1 GB
69	97/7c299a	349224	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (40_T)	COMPLETED	0	2026-07-01 09:16:32.240	2m 55s	2m 48s	501.2%	14.7 GB	103.5 GB	21 GB	1014.4 MB
65	3b/dbc260	349220	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (84_M)	COMPLETED	0	2026-07-01 09:15:07.243	12m 40s	12m 32s	632.4%	9 GB	58.9 GB	213.4 GB	1.2 GB
63	2d/fc670b	349212	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (57_M)	COMPLETED	0	2026-07-01 09:10:13.402	17m 54s	17m 37s	541.7%	8.7 GB	59.2 GB	277 GB	1.2 GB
68	00/3d1a2c	349227	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (82_M)	COMPLETED	0	2026-07-01 09:28:07.279	11m 45s	11m 35s	249.9%	5.2 GB	27.8 GB	58 GB	1 GB
71	82/419f66	349226	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (64_T)	COMPLETED	0	2026-07-01 09:27:47.273	16m 35s	16m 24s	324.7%	6.4 GB	43 GB	149.6 GB	1.1 GB
75	60/a96821	349228	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (5_M)	COMPLETED	0	2026-07-01 09:39:53.020	5m 24s	4m 37s	377.1%	13 GB	93 GB	23.6 GB	998.9 MB
70	a5/b2ba3a	349225	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (83_T)	COMPLETED	0	2026-07-01 09:19:27.247	27m	26m 52s	385.0%	7.1 GB	50.6 GB	240.6 GB	1.3 GB
66	f5/d607fb	349221	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (75_M)	COMPLETED	0	2026-07-01 09:15:32.248	35m 25s	35m 14s	490.4%	10 GB	66.7 GB	568.1 GB	1.6 GB
72	a2/7d03d9	349232	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (11_T)	COMPLETED	0	2026-07-01 09:46:27.384	4m 55s	4m 43s	492.9%	8.6 GB	54.6 GB	46.8 GB	1 GB
