task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
30	88/960b9d	349175	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (76T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:07.394	34.7s	22.1s	61.3%	95.9 MB	155.6 MB	3.1 GB	1.7 MB
24	14/82dc29	349172	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (73T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:57.253	44.8s	30.4s	51.6%	85.2 MB	125.9 MB	3 GB	1 MB
29	cd/dda4cf	349174	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (45T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:07.218	44.8s	31.7s	50.7%	92.7 MB	155.4 MB	3.1 GB	1.5 MB
27	30/e3bd06	349176	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (9T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:17.226	39.8s	26.3s	50.3%	86.6 MB	122.5 MB	3 GB	845.7 KB
32	c7/2c1d81	349179	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (36M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:42.445	29.6s	17.9s	62.5%	89.8 MB	140.7 MB	3 GB	547.4 KB
31	b7/30b28d	349177	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (57T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:37.248	39.8s	23.7s	54.0%	84.8 MB	122.5 MB	3 GB	547.5 KB
28	a8/5d5105	349178	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (86T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:42.249	39.8s	27.3s	55.4%	92.5 MB	155.5 MB	3 GB	1.2 MB
36	be/1a03cd	349180	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (83M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:52.217	34.8s	21.7s	59.9%	92.7 MB	155.6 MB	3 GB	1.4 MB
35	68/b71613	349181	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (86M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:04:57.253	34.8s	23.5s	58.9%	85.2 MB	125.9 MB	3 GB	1.5 MB
34	56/e910b7	349182	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (27T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:05:12.234	34.8s	24.6s	52.9%	86.5 MB	122.5 MB	3 GB	840.1 KB
38	29/eabc7b	349185	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (6T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:05:27.254	29.8s	19.2s	60.2%	89.8 MB	125.9 MB	3 GB	860.8 KB
37	24/ef5f71	349183	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (64M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:05:17.227	49.8s	38.3s	61.4%	92.8 MB	156.7 MB	3.3 GB	5.4 MB
40	92/06abb3	349186	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (75T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:05:32.240	44.8s	30.3s	52.3%	91.8 MB	155.7 MB	3.1 GB	2.2 MB
