gene	n_primary	n_recurrent	n_either	recurrent_only
MTMR1	1	0	1	0
TRBV5-5	1	0	1	0
SLAIN1	1	0	1	0
SORBS2	1	0	1	0
PABPC1	1	0	1	0
PKLR	1	0	1	0
DZIP3	1	0	1	0
NKX6-1	1	0	1	0
HLA-B	1	0	1	0
KHDC1	1	0	1	0
KIF5B	1	0	1	0
LINC00452	1	0	1	0
OR4L1	1	0	1	0
DHRS4L2	1	0	1	0
NEUROD2	1	0	1	0
ZNF681	1	0	1	0
COL14A1	1	0	1	0
TONSL	1	0	1	0
PRIM1	1	0	1	0
GOLGA6L10	1	0	1	0
TNFRSF25	1	0	1	0
PTPRU	1	0	1	0
MAP10	1	0	1	0
ZNF692	1	0	1	0
SEPT2	1	0	1	0
GFRA3	1	0	1	0
POPDC3	1	0	1	0
C7orf50	1	0	1	0
TRBV17	1	0	1	0
CCDC171	1	0	1	0
LRIG3	1	0	1	0
CEP290	1	0	1	0
FZD10	1	0	1	0
AEN	1	0	1	0
KRT15	1	0	1	0
EMILIN2	1	0	1	0
RAVER1	1	0	1	0
SMIM7	1	0	1	0
MYH14	1	0	1	0
KIR3DL3	1	0	1	0
UBA1	1	0	1	0
RBMXL3	1	0	1	0
MZB1	1	0	1	0
PCDHA4	1	0	1	0
ELAVL2	1	0	1	0
PAAF1	1	0	1	0
PKP2	1	0	1	0
DSG3	1	0	1	0
SERPINB7	1	0	1	0
CTDP1	1	0	1	0
